Unnamed: 0,odd_rows,even_rows,example
0,energy,エネルギー,Akiya didn’t have energy to talk with his friends.
1,condition,条件、コンディション,The condition of the car is excellent.
2,stairs,階段,Shion climbed the stairs quickly to catch the train.
3,flu,インフルエンザ,He stayed home because he caught the flu.
4,celebrate,祝う,We plan to celebrate her birthday next week.
5,remain,残る,Only a few cookies remain on the plate.
6,design,デザインする,She decided to design her own dress for the party.
7,prepare,準備する,He is working hard to prepare for the final exam.
8,achievement,達成、功績,Winning the award was a big achievement for her.
9,relationship,関係,They have a strong relationship built on trust.
10,resource,資源,Water is one of the most important natural resources.
11,theory,理論,She developed a new theory about the origins of the universe.
12,surface,表面,"The surface of the water was calm, with no ripples."
13,ability,能力,His ability to solve complex problems amazed everyone.
14,research,調査,The research on renewable energy is progressing rapidly.
15,accept,受け入れる,He was willing to accept the job offer from the company.
16,melt,溶ける,The ice began to melt as the temperature rose.
17,oversleep,寝坊する,I overslept and missed the first half of the meeting.
18,invent,発明する,Thomas Edison is famous for helping invent the light bulb.
19,stretch,伸ばす,Remember to stretch before you start your workout.
20,treat,扱う,The doctor will treat the patient with the latest medicine.
21,cure,治療する,Researchers are working hard to cure cancer.
22,trust,信頼する,I completely trust my best friend to keep my secrets.
23,fold,折りたたむ,Please fold the clothes neatly before putting them away.
24,return,返す、戻す,Don't forget to return the book to the library on time.
25,explore,探検する,They decided to explore the cave and see what secrets it held.
26,confirm,確認する,Can you confirm if the meeting is still scheduled for 3 PM?
27,publish,出版する,The author plans to publish her new novel next month.
28,warn,警告する,The weather service will warn us if a storm is approaching.
29,deadline,締切り,The deadline for submitting the project is next Friday.
30,submit,提出する,Please submit your homework by the end of the week.
31,state,州,I live in a small state in the United States.
32,memory,メモリー、思いで,This photo brings back a lot of good memories　from my childhood.
33,item,品目,The store has many different items on sale today.
34,calcium,カルシウム,"Milk is rich in calcium, which is important for healthy bones."
35,save,保存する,Remember to save your work before closing the program.
36,figure out,分かる,I still can't figure out how to solve this math problem.
37,reason,理由,The reason for his decision was that he felt it was the right thing to do.
38,suggest,提案する,She wants to suggest a new idea for the project.
39,erase,消す、削除する,I accidentally erase the file I was working on.
40,sunset,日没,We watched the beautiful sunset at the beach yesterday.
41,noise,騒音,The noise from the construction site made it hard to concentrate.
42,resource,資源,Water is a valuable resource that we must protect.
43,honor,名誉,It is an honor to be invited to speak at the conference.
44,on one's way to ～,～への途中で,I met him on my way to the office this morning.
45,否定文＋at all,全く～ない,I don’t like spicy food at all.
46,wave,波,The waves were crashing against the rocks during the storm.
47,corner,角、隅,There's a small corner in the room where I keep my books.
48,rule,ルール、決まり,It's important to follow the rules when playing a game.
49,display,展示,The museum has an impressive display of ancient artifacts.
50,instead,代わりに,"She went to the store, but she bought a salad instead of a sandwich."
51,process,過程,Learning a new language can be a long process.
52,planet,惑星,Earth is the only planet known to support life.
53,package,小包,I received a package from my friend this morning.
54,ancestor,祖先,My ancestors came from a small village in Italy.
55,tease,からかう,"He likes to tease his little sister, but it's all in fun."
56,earn,稼ぐ,He worked hard to earn enough money for the trip.
57,deny,否定する,I must deny the accusation because it’s not true.
58,serve,（飲食物を）出す、 ～に仕える,The waiter will serve your meal shortly.
59,guard,防御する,The soldiers were trained to guard the castle.
60,achieve,成し遂げる,She worked tirelessly to achieve her dream of becoming a doctor.
61,improve,改善する、上達する,He works hard every day to improve his skills.
62,accept,受け入れる,It's important to accept constructive criticism in order to grow.
63,tourist,旅行客,The tourists were excited to visit the famous landmarks.
64,lawyer,弁護士,The lawyer provided valuable advice during the trial.
65,passenger,乗客,The passenger asked the driver for directions.
66,customer,客,The customer was satisfied with the service at the restaurant.
67,vehicle,乗り物,The vehicle broke down on the side of the road.
68,purpose,目的,The purpose of the meeting was to discuss the new project.
69,discovery,発見,The discovery of a new species excited the scientific community.
70,responsibility,責任,It's your responsibility to finish the assignment on time.
71,employee,従業員,The employee was praised for their excellent performance.
72,in order to ～,～する目的で、～するために,He studied hard in order to pass the exam.
73,forecast,予報,The forecast predicts rain for the weekend.
74,citizen,市民,Every citizen has the right to vote in the election.
75,dormitory,寮,The dormitory offers shared rooms for students.
76,belief,信じること,His belief in hard work helped him achieve his dreams.
77,instead,代わりに,I decided to stay home instead of going out with friends.
78,audience,観客,The audience applauded after the performance.
79,director,監督,The director made some changes to the script before filming.
80,neighbor,隣人,Our neighbor invited us to dinner last weekend.
81,customer,客,The customer requested a refund for the defective product.
82,create,創作する,The artist loves to create beautiful paintings in his free time.
83,crop,作物,The crop yield was excellent this year.
84,professor,教授,The professor gave a lecture on ancient history.
85,enemy,敵,The enemy soldiers retreated after the battle.
86,disease,病気,The doctor is researching ways to treat the disease.
87,unfortunately,不運にも,"Unfortunately, the concert was canceled due to the weather."
88,decrease,減る,The number of students in the class will decrease next semester.
89,talent,才能,She has a natural talent for playing the piano.
90,figure,数字、形,The figure on the graph shows a steady increase in sales.
91,climate,天候,The climate in this region is usually warm and sunny.
92,vision,視力、視覚,He has perfect vision and doesn't need glasses.
93,loudly,大声で,He spoke so loudly that everyone in the room could hear him.
94,gently,優しく,The nurse spoke gently to the patient to comfort them.
95,nearly,ほとんど,"The train is nearly full, but there are still a few seats available."
96,regularly,定期的に,She works out regularly to stay in shape.
97,transport,輸送する,The company will transport the goods by truck.
98,reserve,予約する,I need to reserve a table for two at the restaurant.
99,delay,遅らせる,The flight was delayed due to bad weather.
100,hurt,傷つける,Be careful not to hurt yourself while playing sports.
101,realize,気づく,I didn't realize how late it was until I checked the clock.
102,departure,出発,The departure of the flight was delayed due to bad weather.
103,follow,～についていく,It's important to follow the instructions carefully.
104,project,課題、研究,The students worked hard on their project for the science fair.
105,drop,落とす,He accidentally dropped his phone on the floor.
106,shave,剃る,He needs to shave before the meeting.
107,protect,防御する,The security system is designed to protect the building from intruders.
108,surprise,驚かせる,She wanted to surprise him with a special gift on his birthday.
109,trust,信じる,I trust you will make the right decision.
110,pillow,枕,I always sleep with a soft pillow under my head.
111,butterfly,蝶,A colorful butterfly landed on the flower in the garden.
112,flight,飛行機の便,Our flight to Paris was smooth and on time.
113,emotion,感情,She couldn't hide her emotion when she heard the news.
114,flavor,味,The soup had a rich flavor that everyone loved.
115,grocery,食料品,I need to go to the grocery store to buy some vegetables.
116,microwave,電子レンジ,I heated the leftovers in the microwave.
117,psychology,心理学,She studied psychology to better understand human behavior.
118,move,引っ越す、動く,They decided to move to a new city for a fresh start.
119,solve,解く,He spent hours trying to solve the complex math problem.
120,locate,位置する,The company was able to locate the missing package.
121,attract,魅了する,The bright colors of the flowers attract bees.
122,swing,揺れる、揺らす,The children love to swing on the playground.
123,at once,すぐに,Please come here at once; it’s urgent.
124,spread,広げる,We need to spread the word about the event.
125,belong,属する,"This book belongs to the library, so please return it."
126,continue,続ける,We will continue working on the project tomorrow.
127,expect,期待する,She didn’t expect the surprise party.
128,thanks to ～,～のおかげで,"Thanks to his hard work, the project was completed on time."
129,appreciation,感謝,I want to express my appreciation for your support.
130,reduce,減らす,You can reduce waste by recycling and reusing items.
131,greet,あいさつをする,"When you meet someone, always greet them with a smile."
132,bark,吠える,The dog began to bark loudly at the mailman.
133,earn,稼ぐ,He worked hard to earn enough money for his vacation.
134,neighbor,隣人,My neighbor invited us over for dinner last night.
135,refuse,拒絶する,She had to refuse the invitation because she was busy.
136,accept,受け入れる,I will accept the offer for the new job.
137,notice,気づく,Did you notice the beautiful sunset this evening?
138,impress,印象づける,The performance was designed to impress the judges.
139,offer,提供する,The restaurant will offer a variety of dishes on the menu.
140,whisper,ささやく,She leaned in to whisper a secret in my ear.
141,serve,出す,The waiter will serve your meal shortly.
142,relax,くつろぐ,"After a long day, it's nice to relax and unwind."
143,include,含む,The package will include all the necessary materials.
144,voyage,航海,The voyage across the ocean took several months.
145,conclusion,結論,"In conclusion, we can say that the experiment was successful."
146,energy,エネルギー,The sun gives us energy to power our planet.
147,shadow,影,His shadow grew longer as the sun began to set.
148,amount,量,I need to measure the amount of flour for the recipe.
149,security,警備、安全,The security at the airport is very strict.
150,height,高さ,The height of the building makes it one of the tallest in the city.
151,effect,効果,The new medicine had a positive effect on her health.
152,strict,厳しい,The teacher was strict about late assignments.
153,guard,警備員,The guard checked everyone's ID before allowing them into the building.
154,effort,努力,His effort to improve the project was appreciated by the team.
155,issue,問題、発行物,The magazine published an issue on environmental issues.
156,flavor,味,The soup had a strong flavor of garlic and onions.
157,feature,特徴,One of the main features of the phone is its high-quality camera.
158,go well,うまく行く,Everything seems to go well during the meeting.
159,label,ラベル、貼り紙,"The label on the package said ""Fragile."""
160,challenge,挑戦,Climbing Mount Everest is a huge challenge.
161,receipt,レシート、領収書,Please keep the receipt in case you need to return the item.
162,impression,印象,She made a great impression on the interviewers.
163,employee,従業員,The employee was recognized for his excellent customer service.
164,naturally,自然に,"Naturally, the dog followed its owner wherever she went."
165,totally,完全に,I am totally amazed by your dedication.
166,equally,平等に,They treated all the students equally during the competition.
167,constantly,一定に,He worked constantly to improve his skills.
168,value,価値,The value of the painting increased over time.
169,decoration,装飾,The room was decorated with beautiful decorations for the party.
170,option,選択,There are several options for you to choose from.
171,factor,要因,The factor that contributed to his success was hard work.
172,bright,明るい,The bright lights in the city made it look magical at night.
173,instead,代わりに,I decided to stay home instead of going out.
174,injured,けがをした,The player was injured during the game and had to leave the field.
175,satisfied,満足した,She felt satisfied after finishing the challenging task.
176,bored,退屈した,I was so bored during the meeting that I couldn't concentrate.
177,exhausted,疲れ切った,"After running the marathon, I was completely exhausted."
178,rug,敷物、じゅうたん,The rug in the living room added warmth to the space.
179,campaign,運動、キャンペーン,The charity campaign raised a lot of money for the cause.
180,advertisement,広告、宣伝,The advertisement was designed to attract more customers.
181,industry,産業,The industry is seeing rapid changes due to new technology.
182,editor,編集者,The editor reviewed the manuscript before publishing the book.
183,strength,力、長所,His strength lies in his ability to solve problems quickly.
184,influence,影響,Social media has a big influence on public opinion.
185,conclusion,結論、結末,"In conclusion, I believe the project was a success."
186,advice,忠告,He gave me some useful advice about managing my time better.
187,suggest,提案する,I would like to suggest a new strategy for our marketing campaign.
188,save,救う,The lifeguard was able to save the swimmer from the dangerous current.
189,control,制御する,She learned to control her emotions during stressful situations.
190,spread,広げる、広がる,The news about the storm started to spread quickly across town.
191,solve,解決する,We need to solve the issue before it becomes a bigger problem.
192,temperature,気温、温度,The temperature today is expected to reach 30°C.
193,law,法律,The law prohibits the sale of alcohol to minors.
194,demonstration,実演,The demonstration showed how the new software works.
195,connection,接続,There was a strong connection between the two ideas in the research.
196,introduction,紹介、導入,The introduction of the speaker was brief but informative.
197,master,主人,The master of the house greeted us at the door.
198,actress,女優,The actress won an award for her outstanding performance in the movie.
199,owner,所有者、オーナー,The owner of the store gave us a special discount.
200,editor,編集者,The editor made some final changes to the article before publication.
201,talented,才能がある,She is a talented singer and always performs beautifully.
202,imagination,想像（力）,His imagination takes him to magical places when he reads.
203,nationality,国籍,They were curious about her nationality because of her accent.
204,psychology,心理学,He decided to study psychology to understand human behavior.
205,discussion,話し合い、討論,The meeting ended with a discussion about future goals.
206,prove,証明する,The scientist was able to prove his hypothesis through experiments.
207,insist,主張する,"She insists on doing everything herself, even when help is offered."
208,chase,追跡する,The police were able to chase down the suspect.
209,judge,審判する、判断する,The referee will judge the performance of each team.
210,hold,開催する,The company will hold a meeting to discuss the new project.
211,choose,選ぶ,You should choose your words carefully in a sensitive situation.
212,prize,賞,He won the first prize in the art competition.
213,fee,料金,The fee for the event was higher than expected.
214,enemy,敵,The enemy army retreated after the battle.
215,stair,階段,She ran up the stair to the second floor.
216,since～,～なので、～以来,"Since it’s raining, we’ll need to cancel the picnic."
217,individually,個々に,The students were graded individually based on their performance.
218,physically,肉体的に,The boxer trained physically to prepare for the championship match.
219,heavily,激しく,"The storm rained heavily, causing flooding in some areas."
220,properly,適切に,Make sure to clean the equipment properly after use.
